content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,tokens,clean_tokens,stemmed_tokens,final_text
aplikasi nya okk tapi terkadang pelayanan masih kurang ramah terutama petugas perempuan apalagi kalau sudah mau ganti sift,5,0,,2025-09-06 04:18:22,,,"['aplikasi', 'nya', 'okk', 'tapi', 'terkadang', 'pelayanan', 'masih', 'kurang', 'ramah', 'terutama', 'petugas', 'perempuan', 'apalagi', 'kalau', 'sudah', 'mau', 'ganti', 'sift']","['aplikasi', 'okk', 'terkadang', 'pelayanan', 'ramah', 'petugas', 'perempuan', 'ganti', 'sift']","['aplikasi', 'okk', 'terkadang', 'layan', 'ramah', 'tugas', 'perempuan', 'ganti', 'sift']",aplikasi okk terkadang layan ramah tugas perempuan ganti sift
sangat sangat membantu saya sebagai pendatang baru di daerah istimewa yogyakarta terimakasih atas bantuannya,5,0,2.3.5,2025-09-03 07:21:18,,,"['sangat', 'sangat', 'membantu', 'saya', 'sebagai', 'pendatang', 'baru', 'di', 'daerah', 'istimewa', 'yogyakarta', 'terimakasih', 'atas', 'bantuannya']","['membantu', 'pendatang', 'daerah', 'istimewa', 'yogyakarta', 'terimakasih', 'bantuannya']","['bantu', 'datang', 'daerah', 'istimewa', 'yogyakarta', 'terimakasih', 'bantu']",bantu datang daerah istimewa yogyakarta terimakasih bantu
sangat membantu mobilitas murah nyaman,5,0,2.3.5,2025-09-02 03:55:16,,,"['sangat', 'membantu', 'mobilitas', 'murah', 'nyaman']","['membantu', 'mobilitas', 'murah', 'nyaman']","['bantu', 'mobilitas', 'murah', 'nyaman']",bantu mobilitas murah nyaman
mau login aja susah karang suruh pakai email tapi waktu dimasukin nama email dan sandinya malah akun sudah ada di perangkat anda buat akun baru pun sama saja trus aja gitu sampe kiamat,1,0,2.3.5,2025-09-01 00:18:48,,,"['mau', 'login', 'aja', 'susah', 'karang', 'suruh', 'pakai', 'email', 'tapi', 'waktu', 'dimasukin', 'nama', 'email', 'dan', 'sandinya', 'malah', 'akun', 'sudah', 'ada', 'di', 'perangkat', 'anda', 'buat', 'akun', 'baru', 'pun', 'sama', 'saja', 'trus', 'aja', 'gitu', 'sampe', 'kiamat']","['login', 'susah', 'karang', 'suruh', 'pakai', 'email', 'dimasukin', 'nama', 'email', 'sandinya', 'akun', 'perangkat', 'akun', 'trus', 'gitu', 'kiamat']","['login', 'susah', 'karang', 'suruh', 'pakai', 'email', 'dimasukin', 'nama', 'email', 'sandi', 'akun', 'perangkat', 'akun', 'trus', 'gitu', 'kiamat']",login susah karang suruh pakai email dimasukin nama email sandi akun perangkat akun trus gitu kiamat
bisa melihat bus terdekat di halte,5,0,2.3.5,2025-08-31 11:38:35,,,"['bisa', 'melihat', 'bus', 'terdekat', 'di', 'halte']","['terdekat', 'halte']","['dekat', 'halte']",dekat halte
aplikasi ini minta mengelola prangkat telepon saya tapi saya tolak jika komentar saya di hapus berarti benar hati penyadapan,1,0,,2025-08-23 10:23:20,,,"['aplikasi', 'ini', 'minta', 'mengelola', 'prangkat', 'telepon', 'saya', 'tapi', 'saya', 'tolak', 'jika', 'komentar', 'saya', 'di', 'hapus', 'berarti', 'benar', 'hati', 'penyadapan']","['aplikasi', 'mengelola', 'prangkat', 'telepon', 'tolak', 'komentar', 'hapus', 'hati', 'penyadapan']","['aplikasi', 'kelola', 'prangkat', 'telepon', 'tolak', 'komentar', 'hapus', 'hati', 'sadap']",aplikasi kelola prangkat telepon tolak komentar hapus hati sadap
perbaiki bug bus diam ditempat,5,0,2.3.5,2025-08-22 07:10:57,,,"['perbaiki', 'bug', 'bus', 'diam', 'ditempat']","['perbaiki', 'bug', 'diam', 'ditempat']","['baik', 'bug', 'diam', 'tempat']",baik bug diam tempat
mudah dimengerti dan mempermudah saya dalam menjalankan aktivitas sehari hari terimakasih transjogja transjogja memang istimewa sangat sangat menolong,5,0,2.3.5,2025-08-20 07:39:55,,,"['mudah', 'dimengerti', 'dan', 'mempermudah', 'saya', 'dalam', 'menjalankan', 'aktivitas', 'sehari', 'hari', 'terimakasih', 'transjogja', 'transjogja', 'memang', 'istimewa', 'sangat', 'sangat', 'menolong']","['mudah', 'dimengerti', 'mempermudah', 'menjalankan', 'aktivitas', 'sehari', 'terimakasih', 'istimewa', 'menolong']","['mudah', 'erti', 'mudah', 'jalan', 'aktivitas', 'hari', 'terimakasih', 'istimewa', 'tolong']",mudah erti mudah jalan aktivitas hari terimakasih istimewa tolong
tolong sistem tracking nya di benarkan merepotkan kalau tidak bisa nge tracking,2,0,2.3.5,2025-08-19 06:00:41,,,"['tolong', 'sistem', 'tracking', 'nya', 'di', 'benarkan', 'merepotkan', 'kalau', 'tidak', 'bisa', 'nge', 'tracking']","['tolong', 'sistem', 'tracking', 'benarkan', 'merepotkan', 'nge', 'tracking']","['tolong', 'sistem', 'tracking', 'benar', 'repot', 'nge', 'tracking']",tolong sistem tracking benar repot nge tracking
terimakasih transjogja transjogja mempermudah saya untuk akses ke sekolah,5,0,2.3.5,2025-08-18 12:08:54,,,"['terimakasih', 'transjogja', 'transjogja', 'mempermudah', 'saya', 'untuk', 'akses', 'ke', 'sekolah']","['terimakasih', 'mempermudah', 'akses', 'sekolah']","['terimakasih', 'mudah', 'akses', 'sekolah']",terimakasih mudah akses sekolah
