reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
8715a2b9-04e5-40d4-83d5-d45562733562,Pengguna Google,https://play-lh.googleusercontent.com/a-/ALV-UjWnOfyVrFJhe3PdL8-yD-6ZXgFHEMQItrKcvqNBJRpY57Qh7YHz,Sangat memudahkan sekali asal tau cara pakainya,5,0,2.0.0,2022-05-06 06:33:20,,,2.0.0
b373102b-e58e-4c4d-b004-ca43328a4c7e,Pengguna Google,https://play-lh.googleusercontent.com/a-/ALV-UjUO1wJwPLTvbg3j4LytL9oMxGXm1cuPL4Pbo0EQCxM7Bfwf4pI,"Pak, lebih enak liat ini bis 1b, 2a, 3b, daripada ngliat plat bisnya. sebagai penumpang, saya jd gak tau bis terdekat itu bis apa.",4,9,2.0.0,2022-04-18 10:30:31,"Hi kak Fiore, terimakasih atas masukkannya. Tunggu update dari kami yah :)",2022-04-22 06:37:57,2.0.0
94753488-ad5b-421a-8d8f-a0a4e883c9cd,Pengguna Google,https://play-lh.googleusercontent.com/a-/ALV-UjXF-Uu_NB-S7HAw_4y5G1hIEgBBFYW64OX8cD2653VTGcZUK_0,Terimakasih broo,5,0,2.0.0,2022-04-15 08:31:06,,,2.0.0
0940e8d9-2fe5-43c2-b37c-e3bb59036322,Pengguna Google,https://play-lh.googleusercontent.com/a-/ALV-UjWQEbDL1w4uT5ZyYOgHRnxN7BhQusE00H0n8BYRttaKH34JlxgG,"Keterangan utk ""Tidak ada rute"" bikin bingung, atau tidak ada opsi rute lainnya",2,1,,2022-03-18 09:37:44,,,
25085e67-c3be-4b60-9271-a2d74a3c118a,Pengguna Google,https://play-lh.googleusercontent.com/a-/ALV-UjX8Jnv1D2YfNTDnWjRz-KWyaYNZ-YqDYaRo-3JqaO_OAK3TLnkQ,Mudah digunakan dan real time,5,3,1.0.8,2022-03-12 02:35:54,,,1.0.8
04739660-d504-4541-b16d-484c159cf284,Pengguna Google,https://play-lh.googleusercontent.com/a/ACg8ocK_KI4T0rsylVKEYeOLAiLKjbN_DwtK9izg08zrvtRK0hz98wMM=mo,Tidak ada informasi apapun yg bisa dimanfaatkan dari app ini,1,1,,2022-03-08 01:38:25,,,
063bbe22-a4df-4127-af44-9f27f77b8b91,Pengguna Google,https://play-lh.googleusercontent.com/a/ACg8ocIgAJgoBjg9tNHjwjEClbego7HEBNTxv7ipgHqQw1pwHSYT5Q=mo,Tepat wkt,5,1,1.0.8,2022-03-02 04:37:49,,,1.0.8
dd18ab6b-474c-4f50-b42c-b40860bcd152,Pengguna Google,https://play-lh.googleusercontent.com/a-/ALV-UjUb1yganfI4sozaukM2FSjMl068baPlgiLCB7YiplvC9V9wP_nS,"Aplikasi pemerintah emg selalu gini, masa kalah sama aplikasi perusahaan swasta. Budgetnya di kemanain !? hadehhhhh",2,11,1.0.8,2022-02-28 12:16:31,,,1.0.8
0203263e-4efc-4a7d-91d2-643315528568,Pengguna Google,https://play-lh.googleusercontent.com/a/ACg8ocLd2k-BcD7lJwQqdv3z8ISvuIt2JqZDfRLsMI6xTFsAGXWgqg=mo,Bersih dan sangat nyaman untuk digunakan,5,3,1.0.8,2022-02-26 08:26:25,,,1.0.8
f1a1b86e-3f0e-4b70-a69b-029582d88651,Pengguna Google,https://play-lh.googleusercontent.com/a-/ALV-UjU2WWxT-a2PEBo3UbnZeru4gmcJnDvs66XKEz-DTZ_l2n4APq5l,"Kurang responsif layaknya google map, butuh sedikit lagi perbaikan. Aplikasi ini memiliki potensi yang bagus sebenarnya hanya ada beberapa hal yang sudah bisa dilakukan oleh google map yang tidak bisa dilakukan aplikasi ini.",2,5,1.0.7,2022-02-21 06:22:21,,,1.0.7
8fd8c995-f284-4517-9768-81471355657c,Pengguna Google,https://play-lh.googleusercontent.com/a/ACg8ocJtMUqm1lqqjc3G0R71pQ54vs0hZ__zWkA_3ssyjsWwinMm=mo,Setelah diperbaiki malah semakin parah. Sekarang tidak bisa untuk memantau pergerakan bus.,2,1,1.0.7,2022-02-19 05:20:27,,,1.0.7
